Article_Author,Article_Link,Article_Origin_Link,Article_Summary,Article_Tag,Article_Time,Article_Title
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1409/,原文链接：https://labs.sentinelone.com/egregor-raas-continues-the-chaos-with-cobalt-s...,,威胁情报,2020年11月26日,Egregor 勒索软件使用 Cobalt Strike 和 Rclone 进行持续性攻击
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1408/,原文链接：https://www.domaintools.com/resources/blog/current-events-to-widespread-cam...,,威胁情报,2020年11月25日,从地缘紧张局势中识别黑客活动
,https://paper.seebug.org/1407/,原文链接：https://www.proofpoint.com/us/blog/threat-insight/ta416-goes-ground-and-returns-golang-plugx...,,威胁情报,2020年11月24日,TA416 使用 PlugX 恶意软件新的 Golang 变种进行攻击
,https://paper.seebug.org/1406/,原文链接：https://blog.malwarebytes.com/ransomware/2020/11/regretlocker-new-ransomware-can-encrypt-win...,,威胁情报,2020年11月23日,RegretLocker：可加密 Windows 虚拟硬盘的新型勒索软件
作者：知道创宇404实验室,https://paper.seebug.org/1405/,,The 404 Starlink Project was started by Knownsec 404Team in 2020. W...,404专栏,2020年11月20日,404 StarLink Project 2.0 -  星链计划2.0 - Galaxy
作者：此彼,https://paper.seebug.org/1404/,,议...,经验心得,2020年11月20日,探索先进自动化漏洞挖掘技术中的不足
,https://paper.seebug.org/1403/,原文链接：https://labs.sentinelone.com/ranzy-ransomware-better-encryption-among-new-features-of-thunde...,,威胁情报,2020年11月20日,勒索软件 Ranzy：ThunderX 升级加密的变体
,https://paper.seebug.org/1402/,原文链接：https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/cicada-apt10-japan-...,,威胁情报,2020年11月19日,Cicada 黑客组织针对日本公司的持续性恶意攻击
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1401/,原文链接：https://blogs.jpcert.or.jp/en/2020/11/elf-plead.html,在过去的一篇文章中，我们介绍了Linu...,威胁情报,2020年11月18日,ELF_PLEAD——BlackTech 黑客组织针对 Linux 的恶意软件
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1400/,原文链接：https://blog.netlab.360.com/linux-ngioweb-v2-going-after-iot-devices-en/,背景...,威胁情报,2020年11月17日,Linux.Ngioweb 僵尸网络快速更新，正在瞄准物联网设备
,https://paper.seebug.org/1399/,原文链接：https://www.netskope.com/blog/here-comes-troublegrabber-stealing-credentials-through-discord...,,威胁情报,2020年11月16日,TroubleGrabber 恶意软件通过 Discord 窃取凭证
作者：云鼎实验室,https://paper.seebug.org/1398/,原文链接：https://mp.weixin.qq.com/s/R8qw_lWizGyeJS0jOcYXag,SaltStack是一个分布式运维系统，在互...,漏洞分析,2020年11月13日,SaltStack 未授权访问及命令执行漏洞分析（CVE-2020-16846/25592）
作者：极光无限维阵漏洞团队负责人—仙果,https://paper.seebug.org/1397/,原文链接：https://mp.weixin.qq.com/s/4TXJrYWnSVeGaM6-p0K8QA,网络设备或其他IoT设备提取...,经验心得,2020年11月12日,Sophos UTM 固件反编译 Perl 源码
本文为作者投稿，Seebug Paper 期待你的分享，凡经采用即有礼品相送！,https://paper.seebug.org/1396/,,通常在渗透的过程中...,经验心得,2020年11月12日,Weblogic IIOP 协议 NAT 网络绕过
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1394/,原文链接：https://blogs.juniper.net/en-us/threat-research/gitpaste-12,Gitpaste-12是...,威胁情报,2020年11月11日,Gitspaste-12 新型蠕虫僵尸网络通过 GitHub 和 Pastebin 传播
作者：云鼎实验室,https://paper.seebug.org/1395/,原文链接：https://mp.weixin.qq.com/s/GRtDqr45x-tNnoR2Qi5ISg,WebLogic是美国Oracle公司的主要...,漏洞分析,2020年11月10日,Weblogic 未授权命令执行分析复现（CVE-2020-14882/14883）
,https://paper.seebug.org/1393/,原文链接：https://news.sophos.com/en-us/2020/10/28/hacks-for-sale-inside-the-buer-loader-malware-as-a-...,,威胁情报,2020年11月09日,黑客通过提供恶意软件服务产品 Buer 牟利
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1392/,原文链接：https://www.netscout.com/blog/asert/dropping-anchor,长期以来，Trickbot一直是主要的银...,威胁情报,2020年11月06日,关于 Trickbot 恶意软件新增的 Anchor 模块分析
作者：启明星辰ADLab,https://paper.seebug.org/1391/,原文链接：https://mp.weixin.qq.com/s/93HyZBf803WucqEUG0uI7g,近日，国外安全研究人员披露一个Linux e...,漏洞分析,2020年11月04日,Linux eBPF JIT 权限提升漏洞（CVE-2020-27194）分析与验证
作者：知道创宇404实验室翻译组,https://paper.seebug.org/1390/,原文链接：https://blog.malwarebytes.com/cybercrime/2020/10/fake-covid-19-survey-hid...,,威胁情报,2020年11月04日,勒索软件伪装成 COVID-19 强制性调查攻击加拿大高校
作者：腾讯科恩实验室,https://paper.seebug.org/1389/,原文链接：https://mp.weixin.qq.com/s/fvnvh25VaHgproPvVT6LDg,在NeurIPS 2020中，腾讯安全科恩实验室使用AI...,二进制安全,2020年11月03日,NeurIPS-2020 论文解读：基于跨模态检索的二进制代码-源代码匹配
作者：知道创宇404实验室翻译组,https://paper.seebug.org/1388/,原文链接：https://www.cybereason.com/blog/back-to-the-future-inside-the-kimsuky-kgh-s...,,威胁情报,2020年11月03日,朝鲜 Kimsuky 黑客组织被发现使用新的 KGH 间谍软件组件
作者：LoRexxar'@知道创宇404实验室,https://paper.seebug.org/1387/,,前段时间开源新版本KunLun-M的时候，写了一篇《从0开始聊聊自动化静态代码审计工具》的文章，里面分享了许多...,404专栏,2020年10月30日,构造一个 CodeDB 来探索全新的白盒静态扫描方案
作者：HuanGMz@知道创宇404实验室,https://paper.seebug.org/1386/,,.NET 相关漏洞中，ViewState也算是一个常客了。Exchange CVE-2020-0688，SharePo...,404专栏,2020年10月30日,.Net 反序列化之 ViewState 利用
作者：知道创宇404实验室翻译组,https://paper.seebug.org/1385/,原文链接：https://www.accenture.com/us-en/blogs/cyber-defense/turla-belugasturgeon-co...,,威胁情报,2020年10月30日,Turla 黑客组织使用 HyperStack、Carbon 和 Kazuar 攻击欧洲政府组织
作者：知道创宇404实验室翻译组,https://paper.seebug.org/1384/,原文链接：https://us-cert.cisa.gov/ncas/alerts/aa20-301a,网络安全报告书由网络安全基础设施安全局（CIS...,威胁情报,2020年10月29日,朝鲜黑客组织 Kimsuky 的持续性网络攻击
作者：知道创宇404实验室翻译组,https://paper.seebug.org/1383/,原文链接：https://us-cert.cisa.gov/ncas/alerts/aa20-296a,由联邦调查局（FBI）和网络安全基础设施安全局（C...,威胁情报,2020年10月26日,俄罗斯政府支持的高级黑客持续攻击美国政府网络
作者：知道创宇404实验室,https://paper.seebug.org/1382/,,“404星链计划”是知道创宇404实验室于2020年8月开始的计划，旨在通过开源或者开放的方式，长期维护并推进涉及安全研究各个领域不同...,404专栏,2020年10月26日,404 StarLink Project - 404 星链计划三期
,https://paper.seebug.org/1381/,原文链接：https://www.anquanke.com/post/id/219177,随着HW、攻防对抗的强度越来越高，各大厂商对于webshell的...,经验心得,2020年10月26日,Tomcat 内存马检测
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1380/,原文链接：https://labs.sentinelone.com/an-inside-look-at-how-ryuk-evolved-its-encrypt...,,威胁情报,2020年10月26日,关于 Ryuk 恶意软件如何发展加密和躲避技术的探索
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1379/,原文链接：https://www.gdatasoftware.com/blog/trat-control-via-smartphone  ,恶意软件攻击者...,威胁情报,2020年10月23日,T-RAT 2.0：通过智能手机控制恶意软件
作者：Seaer@深信服千里目安全实验室,https://paper.seebug.org/1378/,原文链接：https://mp.weixin.qq.com/s/j_gx9C_xL1LyrnuFFPFsfg,Apache Shiro是一...,漏洞分析,2020年10月22日,Shiro 组件漏洞与攻击链分析
作者：Feynman@深信服千里目安全实验室,https://paper.seebug.org/1377/,原文链接：https://mp.weixin.qq.com/s/OWi3G4ETrV-yBsnWgdU_Ew,Thi...,漏洞分析,2020年10月22日,ThinkPHP 组件漏洞与攻击链分析
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1376/,原文链接：https://labs.sentinelone.com/purple-fox-ek-new-cves-steganography-and-virtu...,,威胁情报,2020年10月22日,Purple Fox EK |新的 CVE、隐写术和虚拟化被添加到攻击流中
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1374/,原文链接：https://www.proofpoint.com/us/blog/threat-insight/geofenced-amazon-japan-cr...,,威胁情报,2020年10月21日,大量伪造 Amazon Japan 邮件的网络钓鱼活动
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1375/,原文链接：https://unit42.paloaltonetworks.com/iot-vulnerabilities-mirai-payloads/,...,威胁情报,2020年10月20日,研究人员通过 Mirai 恶意软件 payload 确定了两个新的 IoT 漏洞
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1373/,原文链接：https://www.bitdefender.com/files/News/CaseStudies/study/376/Bitdefender-Wh...,,威胁情报,2020年10月20日,Interplanetary Storm Golang 僵尸网络
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1372/,原文链接：https://www.proofpoint.com/us/blog/threat-insight/agile-threat-actors-pivot...,,威胁情报,2020年10月19日,网络钓鱼邮件诱饵从 COVID-19 主题转移到美国大选
本文为作者投稿，Seebug Paper 期待你的分享，凡经采用即有礼品相送！,https://paper.seebug.org/1371/,,近期在众所周知的活动中，各种漏...,漏洞分析,2020年10月19日,探索低版本 .Net 反序列化实现 Exchange RCE
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1370/,原文链接：https://blog.malwarebytes.com/malwarebytes-news/2020/10/silent-librarian-ap...,,威胁情报,2020年10月16日,Silent Librarian APT 组织将在 20/21 学年持续攻击大学
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1369/,原文链接：https://securelist.com/iamtheking-and-the-slothfulmedia-malware-family/9900...,,威胁情报,2020年10月16日,IAmTheKing 和 SlothfulMedia 恶意软件家族
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1368/,原文链接：https://www.zscaler.com/blogs/research/targeted-attacks-oil-and-gas-supply-...,,威胁情报,2020年10月15日,针对中东石油和天然气供应链的攻击
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1367/,原文链接：https://www.fortinet.com/blog/threat-research/deep-analysis-the-eking-varia...,,威胁情报,2020年10月14日,Phobos 勒索软件的 EKING 变体
作者:evilpan,https://paper.seebug.org/1366/,原文链接：https://evilpan.com/2020/05/17/ec-crypto/,本文主要介绍椭圆曲线的基本原理以及基于椭圆曲线的密码学实现，包括ECC加密、E...,经验心得,2020年10月14日,椭圆曲线加密与 NSA 后门考古
作者：evilpan,https://paper.seebug.org/1365/,原文链接：https://evilpan.com/2020/10/07/jni-helper/,国庆几天在家写了个用于辅助 JNI 接口逆向分析的工具，同时支持 Ghidr...,经验心得,2020年10月14日,安卓逆向之自动化 JNI 静态分析
作者：evilpan,https://paper.seebug.org/1364/,原文链接：https://evilpan.com/2020/07/11/android-ipc-tips/,最近在分析一个运行Android系统的IoT平台，其中包含设备管...,经验心得,2020年10月14日,Android 进程间通信与逆向分析
作者：evilpan,https://paper.seebug.org/1363/,原文链接：https://evilpan.com/2020/09/06/macho-inside-out/,之前写了一篇深入浅出ELF，作为姊妹篇这次就来聊聊MacOS的可...,经验心得,2020年10月14日,深入浅出 MachO
作者：raycp,https://paper.seebug.org/1362/,原文来自安全客：https://www.anquanke.com/post/id/197637,CVE-2015-5165及CVE-2015-7504，很经典的一个qemu逃逸...,漏洞分析,2020年10月13日,qemu-pwn-cve-2015-5165 信息泄露漏洞分析
作者：raycp,https://paper.seebug.org/1361/,原文来自安全客：https://www.anquanke.com/post/id/197638,cve-2015-7504是pcnet网卡中的一个堆溢出漏洞，可以溢出四字节，通...,漏洞分析,2020年10月13日,qemu-pwn-cve-2015-7504 堆溢出漏洞分析
作者：raycp,https://paper.seebug.org/1360/,原文来自安全客：https://www.anquanke.com/post/id/197639,qemu-kvm默认使用的是-net nic -net user的参数...,漏洞分析,2020年10月13日,qemu-pwn cve-2019-6778 堆溢出漏洞分析
作者：raycp,https://paper.seebug.org/1359/,原文链接：https://mp.weixin.qq.com/s/rJJYXIUWUh33G0KnvYT06w,终于到了这里，把qwb2019的这两题qemu逃逸题复现之后，...,CTF,2020年10月12日,qemu-pwn 强网杯 2019 两道 qemu 逃逸题  writeup
作者：raycp,https://paper.seebug.org/1358/,原文链接：https://mp.weixin.qq.com/s/cLZ7Jv2p9wlK87qN03TRqA,https://mp.weixin.qq.com/s/5Lcdwv...,漏洞分析,2020年10月12日,browser-pwn cve-2020-6418 漏洞分析
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1357/,原文链接：https://labs.bitdefender.com/2020/10/theres-a-new-a-golang-written-rat-in-t...,,威胁情报,2020年10月12日,一种新的 Golang 编写的木马
作者: evilpan,https://paper.seebug.org/1356/,原文链接: https://evilpan.com/2020/10/11/protected-python/,某天在群里看到一个大佬看到另一个大佬的帖子而发的帖子的...,经验心得,2020年10月12日,如何破解一个 Python 虚拟机壳并拿走 12300 元 ETH
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1355/,原文链接：https://thedfirreport.com/2020/10/08/ryuks-return/,Ryuk在29小时内将一封电子邮件发送到了...,威胁情报,2020年10月10日,Ryuk 勒索事件分析
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1354/,原文链接：https://blogs.juniper.net/en-us/threat-research/new-pastebin-like-service-u...,,威胁情报,2020年10月09日,新的 pastebin-like 服务被用于多个恶意软件活动中
作者：hu4wufu@白帽汇安全研究院,https://paper.seebug.org/1353/,,JMX（Java Management Extensions）是一种Java技术，主要为管理和监视应用...,漏洞分析,2020年09月30日,Apache IoTDB 远程代码执行（CVE-2020-1952）分析
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1352/,原文链接：https://www.zscaler.com/blogs/security-research/joker-playing-hide-and-seek...,,威胁情报,2020年09月29日,Joker 恶意软件通过上传到 Google Play 商店促使用户下载
作者：Kerne7@知道创宇404实验室,https://paper.seebug.org/1351/,,选择这个漏洞的原因是和之前那个cve-2019-5786是在野组合利用的，而且互联网上这个漏洞的资料也比较多，可以避免...,404专栏,2020年09月28日,CVE-2019-0808 从空指针解引用到权限提升
作者：启明星辰ADLab,https://paper.seebug.org/1350/,原文链接：https://mp.weixin.qq.com/s/n3HcxJT-oDPeVMtekhXcIg,2020年8月中旬，启明星辰ADLab发现了...,情报分析,2020年09月28日,ADLab 针对新型黑客组织“海毒蛇”深度追踪与分析
本文为作者投稿，Seebug Paper 期待你的分享，凡经采用即有礼品相送！,https://paper.seebug.org/1349/,,Cobalt Str...,Web安全,2020年09月28日,Cobalt Strike 绕过流量审计
作者：启明星辰ADLab,https://paper.seebug.org/1348/,原文链接：https://mp.weixin.qq.com/s/uv3BiznUCUy8do_ullnXUw,近日，Openwall社区上公开了一个Lin...,漏洞分析,2020年09月27日,Linux 内核 AF_PACKET 原生套接字漏洞（CVE-2020-14386）分析
作者：answerboy@知道创宇404积极防御实验室,https://paper.seebug.org/1347/,,专项行动期间，某天各大蓝队群内都在交流最近是否收到很多来自印度的攻击流量，最初部分认为是红队在使用印...,404专栏,2020年09月25日,专项行动的意外收获—— 2020 年 9 月墨子（Mozi）僵尸网络分析报告
作者：Strawberry @ QAX A-TEAM,https://paper.seebug.org/1346/,原文链接：https://mp.weixin.qq.com/s/Xlfr8AIB43RuJ9lveqUGOA,2020年3月11日，微软发...,漏洞分析,2020年09月24日,SMBGhost && SMBleed 漏洞深入研究
,https://paper.seebug.org/1345/,,Chinese Version: https://paper.seebug...,404 English Paper,2020年09月23日,Talk about automated static code audit tools
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1344/,原文链接：https://quointelligence.eu/2020/09/apt28-zebrocy-malware-campaign-nato-them...,,威胁情报,2020年09月23日,APT28 组织利用北约主题作为诱饵进行 Zebrocy 恶意软件攻击
作者：天融信阿尔法实验室,https://paper.seebug.org/1343/,原文链接：https://mp.weixin.qq.com/s/FORG5-_fPsFUW91SS4FjZQ,本文衔接上一篇文章《FastJson历史漏洞研究（一...,漏洞分析,2020年09月22日,FastJson历史漏洞研究（二）
作者：Longofo@知道创宇404实验室 &amp; r00t4dm@奇安信A-TEAM,https://paper.seebug.org/1342/,,2020年9月17日，IBM发布了一个WebSphere XXE漏洞公告。...,404专栏,2020年09月22日,WebSphere XXE 漏洞分析(CVE-2020-4643)
作者：LoRexxar'@知道创宇404实验室,https://paper.seebug.org/1339/,,自从人类发明了工具开始，人类就在不断为探索...,404专栏,2020年09月21日,从0开始聊聊自动化静态代码审计工具
作者：知道创宇404实验室,https://paper.seebug.org/1341/,,“404星链计划”是知道创宇404实验室于2020年8月开始的计划，旨在通过开源或者开放的方式，长期维护并推进涉及安全研究各个领域不同环...,404专栏,2020年09月21日,404 StarLink Project - 404星链计划二期
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1340/,原文链接：https://decoded.avast.io/janrubin/complex-obfuscation-meh/,最近一段时间，我们一直在监...,威胁情报,2020年09月21日,Meh 恶意程序窃取用户密码
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1338/,原文链接：https://seguranca-informatica.pt/threat-analysis-the-emergent-ursa-trojan-i...,,威胁情报,2020年09月17日,新兴的URSA木马使用复杂的加载程序影响了许多国家
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1336/,原文链接：https://threatintel.blog/OPBlueRaven-Part2/,本文旨在为读者提供有关PRODAFT＆INVICTUS威胁情报...,威胁情报,2020年09月16日,OpBlueRaven：揭露APT组织 Fin7 / Carbanak之BadUSB攻击
"作者：昏鸦,Al1ex@知道创宇404区块链安全研究团队",https://paper.seebug.org/1337/,,2020年9月14日晚20:00点，未经安全审计的波场最新Defi项目Myrose.finance...,404专栏,2020年09月16日,波场 DeFi 项目 Myrose 无法提现 USDT 技术分析
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1335/,原文链接：https://threatintel.blog/OPBlueRaven-Part1/,本文旨在为读者提供有关PRODAFT＆INVICTUS威胁情报...,威胁情报,2020年09月15日,OpBlueRaven：揭露APT组织 Fin7 / Carbanak之Tirion恶意软件
作者：昏鸦@知道创宇404区块链安全研究团队,https://paper.seebug.org/1334/,,iToken是bZx推出的一种代币，今天早些时候，bZx官方发推表示发现了一些iTokens的安全事件，随后...,404专栏,2020年09月14日,DeFi 项目 bZx-iToken 盗币事件分析
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1333/,原文链接：https://www.intezer.com/blog/cloud-workload-protection/attackers-abusing-le...,,威胁情报,2020年09月10日,攻击者滥用合法的云监控工具进行网络攻击
本文为作者投稿，Seebug Paper 期待你的分享，凡经采用即有礼品相送！,https://paper.seebug.org/1332/,,Thymeleaf...,Web安全,2020年09月07日,java 安全开发之 spring boot Thymeleaf 模板注入
作者：hu4wufu@白帽汇安全研究院,https://paper.seebug.org/1331/,,2020年8月13日虽然近几年来关于ONGL方面的漏洞已经不多了，但是毕竟是经典系列的RCE漏洞，还是有必要分...,漏洞分析,2020年09月07日,Struts2-059 远程代码执行漏洞（CVE-2019-0230）分析
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1330/,原文链接：https://unit42.paloaltonetworks.com/thanos-ransomware/,在2020年7月6日和7月9日，我...,威胁情报,2020年09月07日,Thanos 勒索软件：针对中东和北非国有组织的破坏性变体
作者： jumbo@腾讯安全应急响应中心,https://paper.seebug.org/1329/,原文链接：https://mp.weixin.qq.com/s/YKZ6yWWxOhn2KjTV5lDP7w  ,红蓝对抗越加普遍及重要，甚至成为...,情报分析,2020年09月04日,红蓝对抗之邮件钓鱼攻击
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1328/,原文链接：https://blog.nviso.eu/2020/09/01/epic-manchego-atypical-maldoc-delivery-bri...,,威胁情报,2020年09月04日,Epic Manchego——非典型的 maldoc 交付带来了大量的信息窃取者
作者：kczwa1@知道创宇NDR产品团队,https://paper.seebug.org/1327/,,"KimsukyAPT 是一个长期活跃的 APT 攻击组织，一直针对于韩国的智囊团,政府组织,新闻组织,大学教授等等...",情报分析,2020年09月04日,疑似 KimsukyAPT 组织最新攻击活动样本分析
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1326/,原文链接：https://www.welivesecurity.com/2020/09/02/kryptocibule-multitasking-multicu...,,威胁情报,2020年09月03日,KryptoCibule：多任务多货币密码窃取
作者：w7ay@知道创宇404实验室,https://paper.seebug.org/1325/,,在写自动化渗透工具的时候苦与没有好用的子域名爆破工具，于是自己...,404专栏,2020年09月02日,ksubdomain 无状态域名爆破工具
本文为作者投稿，Seebug Paper 期待你的分享，凡经采用即有礼品相送！,https://paper.seebug.org/1324/,,目前CodeQL依然是一套不够完善、需要不断改...,经验心得,2020年08月31日,使用 CodeQL 分析闭源 Java 程序
作者：极光 @ 知道创宇404区块链安全研究团队,https://paper.seebug.org/1323/,,昨晚突然看到群里的一个消息，揭秘uniswap-defi项目漏洞-割韭菜新手法，心想还有这事？而且还是中英文介...,404专栏,2020年08月31日,Defi？Uniswap 项目漏洞教程新骗局
作者：laker@知道创宇404实验室,https://paper.seebug.org/1321/,,"WebLogic是美国Oracle公司出品的一个application server,确切的说是一个基于JAVAEE架...",404专栏,2020年08月28日,Weblogic12c T3 协议安全漫谈
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1322/,原文链接：https://unit42.paloaltonetworks.com/,自容器诞生以来，安全专家就将不安全的Docker daemons 称...,威胁情报,2020年08月28日,Cetus：针对 Docker daemons 的加密劫持蠕虫
作者： 天融信阿尔法实验室,https://paper.seebug.org/1319/,,1....,漏洞分析,2020年08月28日,FastJson历史漏洞研究（一）
作者：Lightal @ PwnMonkey Security Lab,https://paper.seebug.org/1320/,原文链接：https://bbs.pediy.com/thread-261679.htm,海康威视作为国际大厂...,IoT安全,2020年08月28日,海康萤石智能门锁的网关分析
本文为作者投稿，Seebug Paper 期待你的分享，凡经采用即有礼品相送！,https://paper.seebug.org/1318/,,&emsp;&emsp; Fastjs...,经验心得,2020年08月28日,逆向学习 fastjson 反序列化始末
作者：极光@知道创宇404区块链安全研究团队,https://paper.seebug.org/1317/,,然而虽...,404专栏,2020年08月27日,联盟链智能合约安全浅析
本文为作者投稿，Seebug Paper 期待你的分享，凡经采用即有礼品相送！,https://paper.seebug.org/1316/,,最近一直在Java相关漏洞进行分析学习...,Web安全,2020年08月27日,Java 漏洞分析之远程调试方法总结
作者：Sp4rr0vv @ 白帽汇安全研究院,https://paper.seebug.org/1315/,,8.5.x 版本对应的仓库...,漏洞分析,2020年08月26日,WebSphere 远程命令执行漏洞（CVE-2020-4450）分析
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1314/,原文链接：https://news.sophos.com/,企业一直是恶意加密矿工团队的首选目标。他们不仅经常操作大量的计算资源（这有助于密码劫持者更快地开采...,威胁情报,2020年08月26日,柠檬鸭加密矿工：针对云应用和 Linux
作者：huha@知道创宇404实验室,https://paper.seebug.org/1313/,,代码审计的思路往往是多种多样的，可以通过历史漏洞获取思路、黑盒审计快速确定可疑点，本文则侧重于白盒审计思路，对Centre...,404专栏,2020年08月26日,代码审计从0到1 —— Centreon One-click To RCE
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1312/,原文链接：https://securelist.com/,国家赞助的威胁者和复杂的攻击经常成为人们关注的焦点。确实，他们的创新技术，先进的恶意软件平台和 0da...,威胁情报,2020年08月25日,以法律和金融组织为目标的 DeathStalker APT
作者：fenix@知道创宇404实验室,https://paper.seebug.org/1311/,,2020 年 ...,404专栏,2020年08月25日,Netgear Nighthawk R8300 upnpd PreAuth RCE 分析与复现
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1308/,原文链接：https://blog.morphisec.com/qakbot-qbot-maldoc-two-new-techniques,从本月初开始，...,威胁情报,2020年08月25日,QakBot 恶意文档活动引入两项新技术
